city,province,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,availability_date,smoking,cats,dogs
Airdrie,Alberta,51.2712276,-113.9940381,Long Term,Townhouse,2500,3,2.5,1369,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.2822242,-114.0268172,Long Term,Townhouse,2250,3,2.5,1400,Unfurnished,2025-07-01,Non-Smoking,False,True
Airdrie,Alberta,51.3040693,-114.0266121,Long Term,House,3150,4,3.5,2193,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.2831651,-114.0294991,Negotiable,Apartment,1600,1,1,605,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.27211,-114.035756,Long Term,Townhouse,2675,3,3,1650,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.2991022,-114.0211995,Negotiable,Condo Unit,1900,2,2,996,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.289311,-114.01757,Long Term,Apartment,1759,2,1,955,Unfurnished,2025-07-15,Non-Smoking,True,True
Airdrie,Alberta,51.289311,-114.01757,Long Term,Apartment,1859,2,1,955,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.2657922,-113.9866866,Long Term,Basement,1600,2,1,900,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.280764850472,-113.999724984131,Long Term,Townhouse,1910,3,2,1100,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.2578355,-113.980444,Long Term,House,2500,3,2.5,1316,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.3061638,-114.0265646,Long Term,Townhouse,2600,3,2.5,1600,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.2496275,-114.030942,Long Term,Townhouse,2150,2,2.5,1265,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.2672405,-114.0120077,Long Term,Main Floor,3000,3,2.5,2504,Unfurnished,2025-07-01,Non-Smoking,True,True
Airdrie,Alberta,51.2987401,-114.0275557,Long Term,House,2900,4,3,2500,Unfurnished,2025-07-01,Non-Smoking,True,False
Airdrie,Alberta,51.2500153,-114.02226,Long Term,Duplex,2600,3,2.5,1800,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.24993,-114.0216,Long Term,Townhouse,2500,3,2.5,1329,Unfurnished,2025-07-01,Non-Smoking,False,False
Airdrie,Alberta,51.2593,-114.02104,Negotiable,Room For Rent,1500,1,1,1600,Furnished,2025-07-07,Non-Smoking,False,False
Airdrie,Alberta,51.2654043,-114.04462,Long Term,House,2500,3,2.5,1800,Unfurnished,2025-07-15,Non-Smoking,False,False
Airdrie,Alberta,51.2507194,-114.0239848,Long Term,Basement,1600,1,1,725,Furnished,2025-07-15,Non-Smoking,False,False
Airdrie,Alberta,51.2537716,-114.0305299,Long Term,Townhouse,2200,3,1.5,1300,Unfurnished,2025-07-15,Non-Smoking,True,True
Airdrie,Alberta,51.2496146,-114.030942,Long Term,Townhouse,2500,3,2.5,1458,Unfurnished,2025-07-18,Non-Smoking,True,True
Airdrie,Alberta,51.249266,-114.0303033,Long Term,Townhouse,2300,2,2.5,1265,Unfurnished,2025-08-01,Non-Smoking,False,False
Airdrie,Alberta,51.262799020674,-114.030842329053,Long Term,Basement,1800,2,1.5,1000,Unfurnished,2025-08-01,Non-Smoking,False,False
Airdrie,Alberta,51.3027908,-114.039872,Long Term,House,2600,3,2.5,1560,Unfurnished,2025-08-01,Non-Smoking,False,False
Airdrie,Alberta,51.2588911,-113.9886729,Negotiable,Room For Rent,850,1,1,1307,Furnished,2025-08-01,Non-Smoking,False,False
Airdrie,Alberta,51.2873106,-114.024711,Long Term,Condo Unit,1950,2,2,947,Unfurnished,2025-08-01,Non-Smoking,True,False
Airdrie,Alberta,51.250055267921,-114.034777569312,Long Term,Townhouse,2400,2,2.5,1500,Unfurnished,2025-08-01,Non-Smoking,True,True
Airdrie,Alberta,51.2739826,-113.9929094,Long Term,Main Floor,1895,3,1.5,1150,Unfurnished,2025-08-07,Non-Smoking,True,True
Airdrie,Alberta,51.2673976,-114.0127916,Long Term,Basement,1500,1,1,900,Unfurnished,2025-08-15,Non-Smoking,False,False
Airdrie,Alberta,51.2523335,-114.0253997,12 months,Townhouse,1995,2,1.5,1100,Unfurnished,2025-09-01,Non-Smoking,True,True
Airdrie,Alberta,51.256201508537,-114.024852558752,Long Term,House,3500,3,2.5,2088,Furnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.253532716265,-114.031680869312,Short Term,House,5500,3,2.5,2200,Furnished,2025-02-21,Non-Smoking,False,False
Airdrie,Alberta,51.2702975,-114.0298864,Long Term,Condo Unit,2095,2,2,960,Unfurnished,2025-02-21,Non-Smoking,True,True
Aldersyde,Alberta,50.6771806,-113.8801201,Long Term,House,1950,3,1,1150,Unfurnished,2025-07-01,Non-Smoking,True,True
Balzac,Alberta,51.2578452,-113.9797509,Long Term,Main Floor,2395,2,2.5,1536,Unfurnished,2025-02-21,Non-Smoking,True,True
Balzac,Alberta,51.2569117,-113.980575,Long Term,Basement,1850,2,1,919,Unfurnished,2025-02-21,Non-Smoking,False,True
Beaumont,Alberta,53.3378433,-113.4306374,Long Term,House,2000,3,2.5,1477,Unfurnished,2025-02-21,Non-Smoking,True,True
Beaumont,Alberta,53.3494512,-113.4366176,Long Term,Basement,1500,1,1,700,Unfurnished,2025-02-21,Non-Smoking,False,False
Beaumont,Alberta,53.3438309,-113.4124413,Long Term,House,2200,3,2.5,1707,Unfurnished,2025-02-21,Non-Smoking,False,False
Beaumont,Alberta,53.353495435856,-113.416777344531,Long Term,House,2195,3,2.5,1700,Unfurnished,2025-02-21,Non-Smoking,False,False
Beaumont,Alberta,53.3553327,-113.4352133,Short Term,Apartment,1850,1,1,596,Furnished,2025-02-21,Non-Smoking,True,True
Beaumont,Alberta,53.362737,-113.437809,Long Term,Apartment,1818,2,2,938,Unfurnished,2025-07-01,Non-Smoking,True,True
